subject,run,sfreq,n_ch,dur_s,n_T0,dur_T0,n_T1,dur_T1,n_T2,dur_T2,cohort
10,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
10,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
10,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
10,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
10,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
10,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
11,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
11,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
11,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
11,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
11,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
11,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
12,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
12,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
12,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
12,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
12,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
12,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
13,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
13,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
13,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
13,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
13,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
13,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
14,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
14,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
14,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
14,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
14,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
14,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
15,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
15,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
15,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
15,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
15,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
15,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
16,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
16,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
16,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
16,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
16,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
16,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
18,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
18,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
18,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
18,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
18,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
18,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
19,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
19,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
19,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
19,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
19,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
19,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
20,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
20,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
20,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
20,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
20,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
20,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
21,3,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
21,7,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
21,11,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
21,4,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
21,8,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
21,12,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
23,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
23,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
23,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
23,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
23,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
23,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
24,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
24,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
24,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
24,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
24,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
24,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
25,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
25,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
25,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
25,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
25,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
25,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
28,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
28,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
28,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
28,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
28,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
28,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
29,3,160.0,64,124.0,15,4.107,7,4.1,8,4.1,dev
29,7,160.0,64,124.0,15,4.107,7,4.1,8,4.1,dev
29,11,160.0,64,124.0,15,4.107,8,4.1,7,4.1,dev
29,4,160.0,64,124.0,15,4.107,8,4.1,7,4.1,dev
29,8,160.0,64,124.0,15,4.107,8,4.1,7,4.1,dev
29,12,160.0,64,124.0,15,4.107,7,4.1,8,4.1,dev
30,3,160.0,64,124.0,15,4.107,7,4.1,8,4.1,dev
30,7,160.0,64,124.0,15,4.107,8,4.1,7,4.1,dev
30,11,160.0,64,124.0,15,4.107,7,4.1,8,4.1,dev
30,4,160.0,64,124.0,15,4.107,8,4.1,7,4.1,dev
30,8,160.0,64,124.0,15,4.107,8,4.1,7,4.1,dev
30,12,160.0,64,124.0,15,4.107,8,4.1,7,4.1,dev
31,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
31,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
31,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
31,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
31,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
31,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
32,3,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
32,7,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
32,11,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
32,4,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
32,8,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
32,12,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
33,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
33,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
33,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
33,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
33,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
33,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
34,3,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
34,7,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
34,11,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
34,4,160.0,64,124.0,15,4.113,7,4.1,8,4.087,dev
34,8,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
34,12,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
35,3,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
35,7,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
35,11,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
35,4,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
35,8,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
35,12,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
36,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
36,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
36,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
36,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
36,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
36,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
37,3,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
37,7,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
37,11,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
37,4,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
37,8,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
37,12,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
39,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
39,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
39,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
39,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
39,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
39,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
40,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
40,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
40,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
40,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
40,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
40,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
41,3,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
41,7,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
41,11,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
41,4,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
41,8,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
41,12,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
42,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
42,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
42,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
42,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
42,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
42,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
43,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
43,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
43,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
43,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
43,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
43,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
44,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
44,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
44,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
44,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
44,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
44,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
45,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
45,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
45,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
45,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
45,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
45,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
46,3,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
46,7,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
46,11,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
46,4,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
46,8,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
46,12,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
47,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
47,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
47,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
47,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
47,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
47,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
48,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
48,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
48,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
48,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
48,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
48,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
49,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
49,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
49,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
49,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
49,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
49,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
50,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
50,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
50,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
50,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
50,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
50,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
51,3,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
51,7,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
51,11,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
51,4,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
51,8,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
51,12,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
52,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
52,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
52,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
52,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
52,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
52,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
53,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
53,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
53,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
53,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
53,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
53,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
54,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
54,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
54,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
54,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
54,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
54,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
55,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
55,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
55,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
55,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
55,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
55,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
58,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
58,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
58,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
58,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
58,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
58,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
59,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
59,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
59,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
59,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
59,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
59,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
60,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
60,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
60,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
60,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
60,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
60,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
61,3,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
61,7,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
61,11,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
61,4,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
61,8,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
61,12,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
62,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
62,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
62,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
62,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
62,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
62,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
64,3,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
64,7,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
64,11,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
64,4,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
64,8,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
64,12,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
65,3,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
65,7,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
65,11,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
65,4,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
65,8,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
65,12,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
67,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
67,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
67,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
67,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
67,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
67,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
68,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
68,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
68,11,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
68,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
68,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
68,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
69,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
69,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
69,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
69,4,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
69,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
69,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
70,3,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
70,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
70,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
70,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
70,8,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
70,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
72,3,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
72,7,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
72,11,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
72,4,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
72,8,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
72,12,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
73,3,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
73,7,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
73,11,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
73,4,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
73,8,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
73,12,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
74,3,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
74,7,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
74,11,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
74,4,160.0,64,124.0,15,4.113,8,4.087,7,4.1,dev
74,8,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
74,12,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
75,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
75,7,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
75,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
75,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
75,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
75,12,160.0,64,123.0,15,4.1,8,4.1,7,4.1,dev
76,3,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
76,7,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
76,11,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
76,4,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
76,8,160.0,64,123.0,15,4.107,8,4.087,7,4.1,dev
76,12,160.0,64,123.0,15,4.107,7,4.1,8,4.087,dev
77,3,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
77,7,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
77,11,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
77,4,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
77,8,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
77,12,160.0,64,123.0,15,4.1,7,4.1,8,4.1,dev
79,3,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
79,7,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
79,11,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
79,4,160.0,64,125.0,15,4.2,8,4.1,7,4.1,dev
79,8,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
79,12,160.0,64,125.0,15,4.2,7,4.1,8,4.1,dev
